"","State","FIPS","per_GOP_2020","per_Dem_2020","per_diff_2020","per_GOP2016","per_Dem_2016","per_diff_2016","voter_movement_to_GOP","County","MedHHInc","PovertyAllAgesPct","Deep_Pov_All","UnempRate2019","PctEmpChange1019","PctEmpChange1819","PctEmpAgriculture","PctEmpMining","PctEmpConstruction","PctEmpManufacturing","PctEmpTrade","PctEmpTrans","PctEmpInformation","PctEmpFIRE","PctEmpServices","PctEmpGovt","cases","deaths","PopChangeRate1819","TotalPopEst2019","NetMigrationRate1019","NaturalChangeRate1019","Net_International_Migration_Rate_2010_2019","PopDensity2010","Under18Pct2010","Age65AndOlderPct2010","WhiteNonHispanicPct2010","BlackNonHispanicPct2010","AsianNonHispanicPct2010","NativeAmericanNonHispanicPct2010","HispanicPct2010","MultipleRacePct2010","ForeignBornPct","ForeignBornEuropePct","ForeignBornMexPct","NonEnglishHHPct","Ed1LessThanHSPct","Ed2HSDiplomaOnlyPct","Ed3SomeCollegePct","Ed4AssocDegreePct","Ed5CollegePlusPct","AvgHHSize","FemaleHHPct","HH65PlusAlonePct","OwnHomePct","ForeignBornNum","ForeignBornAfricaPct","ForeignBornAsiaPct","TotalHH","ForeignBornCentralSouthAmPct","ForeignBornCaribPct","TotalPopEst2015","TotalPopEst2016","ruralurban_cc","cases_per_100000","deaths_per_100000","PctEmpChange1619"
"1","Alabama",1001,0.714368023046453,0.270183651422398,0.444184371624055,0.727665879149481,0.237696712449445,0.489969166700036,-0.0132978561030285,"Autauga",59338,13.8,6.142609331,2.7,8.65,0.78,0.551318189,0.331619964,6.00232134,12.94561433,11.64815122,6.984745482,1.629083071,6.259326811,43.39661748,10.25120212,2197,31,0.605,55869,0.686,1.315,-0.029,91.8,26.78,12,77.25,17.58,0.86,0.4,2.4,1.59,2.018115942,0.335144928,0.346014493,0.653563817,11.31141366,32.60775978,20.32502825,8.066512404,27.68928591,2.59,11.3900071,10.54226853,74.89462467,1114,0,0.884057971,21115,0.635869565,0.119565217,54864,55243,2,3932.41332402585,55.4869426694589,-0.470588235294118
"2","Alabama",1003,0.761713728243328,0.22409029987509,0.537623428368238,0.765457123352413,0.193856010082445,0.571601113269968,-0.00374339510908472,"Baldwin",57588,9.8,4.482528095,2.7,26.03,3.12,0.956317802,0.371603894,8.269525268,9.119823515,16.80035126,4.925090224,1.369686975,7.398879834,45.7222716,5.06644963,6995,74,2.469,223234,21.001,0.91,0.714,114.65,22.99,16.77,83.5,9.31,0.74,0.63,4.38,1.49,3.445343021,0.771718395,0.820251121,1.424537661,9.735422379,27.60682772,21.95130248,9.360564396,31.34588303,2.61,9.520236066,12.83737376,73.61934319,7170,0.091299187,0.559327654,78622,1.518449644,0.368079882,202939,207601,3,3133.48325075929,33.1490722739368,-0.490566037735849
"3","Alabama",1005,0.534512264689104,0.457881726563986,0.0766305381251188,0.520966663482663,0.465278441111854,0.055688222370809,0.0135456012064413,"Barbour",34382,30.9,12.74938747,3.8,-8.33,2.83,4.403669725,0.114678899,6.25,23.88761468,13.4059633,6.915137615,0.240825688,3.967889908,33.71559633,7.098623853,1074,9,-0.748,24686,-8.797,-0.867,0.161,31.03,21.91,14.24,46.75,46.69,0.39,0.22,5.05,0.94,2.505624079,0.240477853,1.29935614,1.469627694,26.96857976,35.6903098,18.08727233,7.037913388,12.21592472,2.49,19.33376878,14.51121272,61.39777923,646,0,0.310294004,9186,1.869521371,0.011636025,26283,25806,6,4350.64408976748,36.4579113667666,-0.542168674698795
"4","Alabama",1007,0.784262636789995,0.206982803543512,0.577279833246482,0.764032203197641,0.212495747817213,0.551536455380429,0.0202304335923533,"Bibb",46064,21.8,5.897009967,3.1,6.38,1.83,1.901469317,4.086924312,9.013458452,18.70601309,10.86553896,4.88949253,1.308803556,4.580812446,39.37523151,5.272255834,890,15,0.121,22394,-2.099,0.017,0.525,36.81,22.7,12.68,75.02,21.92,0.1,0.28,1.77,0.89,1.442713189,0.03551294,0.168686465,0.687134503,16.79340938,47.34474018,18.61850444,5.754119138,11.48922687,2.99,13.65497076,12.93859649,75.07309942,325,0,0.226394993,6840,1.056509966,0.12429529,22566,22586,1,3974.27882468518,66.9822273823346,-0.515625
"5","Alabama",1009,0.895715528490648,0.0956937799043062,0.800021748586342,0.893348444583398,0.0842582460528373,0.809090198530561,0.0023670839072496,"Blount",50412,13.2,7.310535721,2.7,9.77,1.88,1.485055748,0.796402136,9.463131266,16.41056872,15.35650707,6.863112527,1.250819826,5.837159187,37.95090415,4.586339361,2162,25,0.095,57826,-0.005,0.79,0.207,88.9,24.61,14.72,88.89,1.26,0.2,0.5,8.07,1.19,4.359441409,0.289704224,3.131234279,1.461165049,19.83748454,34.03992228,21.42983319,12.04986499,12.642895,2.77,9.597087379,11.04854369,78.62621359,2513,0.114493885,0.241131061,20600,3.528493365,0.10408535,57526,57494,1,3738.80261474077,43.2331477190191,-0.5
"6","Alabama",1011,0.248428354649902,0.747019293301539,-0.498590938651637,0.24203821656051,0.749469214437367,-0.507430997876858,0.0063901380893929,"Bullock",29267,42.5,17.66071248,3.6,6.59,1.58,5.939086294,0,4.923857868,33.75634518,7.411167513,5.203045685,0.431472081,2.30964467,33.47715736,6.54822335,657,17,-0.718,10101,-7.769,0.644,0.699,17.52,22.26,13.46,21.92,69.97,0.18,0.18,7.12,0.79,0.927357032,0.173879444,0,1.052923247,24.77477477,39.65371622,16.96227477,5.306869369,13.30236486,2.75,24.46661125,10.75090053,75.53338875,96,0.144899536,0.222179289,3609,0.31877898,0.067619784,10400,10389,6,6504.3065043065,168.300168300168,-0.470588235294118
"7","Alabama",1013,0.575252951096121,0.41789629005059,0.157356661045531,0.561268896014659,0.426706367384333,0.134562528630325,0.0139840550814627,"Butler",37365,24.5,7.667326331,3.6,11.59,4.35,2.891566265,0.063411541,5.618262524,24.032974,12.63157895,4.590995561,1.306277743,3.031071655,40.34242232,5.491439442,1029,41,-0.932,19448,-5.738,-1.352,0.697,26.96,24.14,16.66,54.06,43.19,0.83,0.28,0.91,0.77,1.373283396,0.229712859,0.064918851,0.447227191,15.41618664,43.85800691,16.89228111,7.740495392,16.09302995,2.94,18.47048301,12.29874776,69.94633274,275,0,1.078651685,6708,0.064918851,0,20162,20012,6,5291.03249691485,210.818593171534,-0.478260869565217
"8","Alabama",1015,0.688484396759704,0.298452425318243,0.390031971441461,0.686632960053485,0.276658866789236,0.409974093264249,0.00185143670621934,"Calhoun",45400,19.5,7.379823363,3.5,-2.46,0.87,1.0756484,0.15781714,6.036505596,17.63814191,15.06738377,4.611998256,1.526257865,4.352430592,42.36351932,7.170297153,4951,65,-0.635,113605,-3.268,-0.788,0.471,195.71,22.88,14.33,73.61,20.39,0.7,0.4,3.28,1.67,2.657735147,0.416167092,0.962657909,1.048120267,15.9474316,32.41675618,25.87224363,7.795539268,17.96802932,2.49,16.35911443,10.8631448,69.47349721,3059,0.088620132,0.747189352,45033,1.306712541,0.07385011,115469,114973,3,4358.08283086132,57.2157915584701,-0.461538461538462
"9","Alabama",1017,0.572690395184507,0.416448573671814,0.156241821512693,0.564244604316547,0.416115107913669,0.148129496402878,0.00844579086795993,"Chambers",39917,18.7,6.650838493,2.9,21.76,3.46,1.386446639,0.148789395,4.511023942,28.7772217,12.78912485,3.584471798,1.88692006,3.631813878,39.26011092,4.024076829,1428,47,-1.03,33254,-0.999,-1.544,0.475,57.36,22.51,16.68,58.14,38.6,0.49,0.17,1.57,1.13,1.389463726,0.088689174,0.245373381,0.569695176,18.6004074,38.44848073,21.15515193,8.563911051,13.23204889,2.46,15.99585676,12.83663806,67.7641314,470,0.079820257,0.957843079,13516,0.245373381,0.017737835,33996,33745,6,4294.22024418115,141.336380585794,-0.462962962962963
"10","Alabama",1019,0.860336558003414,0.132021786846598,0.728314771156817,0.834156340259014,0.144134911022081,0.690021429236933,0.0261802177444,"Cherokee",42132,16.3,5.588016156,2.9,9.97,-0.09,3.335033146,0,7.261601224,26.27231005,11.91228965,7.383987761,1.03008669,1.835798062,34.80877104,6.160122387,808,15,0.7,26196,4.634,-3.736,0,46.94,21.42,17.9,92.07,4.64,0.19,0.47,1.23,1.49,0.792944726,0.061888369,0.274629637,0.744861399,19.77186312,38.32806726,21.42665881,7.583141434,12.89026937,2.41,9.607769187,12.03092589,78.95530832,205,0,0.162456968,10606,0.371330213,0,25732,25768,6,3084.44037257597,57.2606504809895,-0.42
